adres,postcode,huisnummer,straat,woonplaats,gemeente,objecttype,lat,lng
"Vreelandseweg 1b, 1394BL Nederhorst den Berg",1394BL,1b,Vreelandseweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25296899,5.04583061
"Ankeveensepad 1c, 1394GW Nederhorst den Berg",1394GW,1c,Ankeveensepad,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26393084,5.04613403
"George Hendrik Breitnerlaan 1c-GA, 1394ET Nederhorst den Berg",1394ET,1c-GA,George Hendrik Breitnerlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26480002,5.04135559
"Hendrik Willem Mesdaglaan 1c-GA, 1394GC Nederhorst den Berg",1394GC,1c-GA,Hendrik Willem Mesdaglaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26583864,5.04182541
"Rembrandt van Rijnhof 1c-GA, 1394EH Nederhorst den Berg",1394EH,1c-GA,Rembrandt van Rijnhof,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2637509,5.04094806
"Spiegelpolder 1c, 1394HX Nederhorst den Berg",1394HX,1c,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27337317,5.05262118
"Veenderij 1c-GA, 1394LA Nederhorst den Berg",1394LA,1c-GA,Veenderij,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25732702,5.04486464
"Vreelandseweg 1c, 1394BL Nederhorst den Berg",1394BL,1c,Vreelandseweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25298961,5.0457793
"Ankeveensepad 1d, 1394GW Nederhorst den Berg",1394GW,1d,Ankeveensepad,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2640183,5.0463659
"George Hendrik Breitnerlaan 1d-GA, 1394ET Nederhorst den Berg",1394ET,1d-GA,George Hendrik Breitnerlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26478944,5.04140024
"Rembrandt van Rijnhof 1d-GA, 1394EH Nederhorst den Berg",1394EH,1d-GA,Rembrandt van Rijnhof,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26375081,5.04091877
"Spiegelpolder 1d, 1394HX Nederhorst den Berg",1394HX,1d,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27368094,5.05198795
"Veenderij 1d-GA, 1394LA Nederhorst den Berg",1394LA,1d-GA,Veenderij,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25735402,5.04487908
"Vreelandseweg 1d, 1394BL Nederhorst den Berg",1394BL,1d,Vreelandseweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25295002,5.0457356
"George Hendrik Breitnerlaan 1e-GA, 1394ET Nederhorst den Berg",1394ET,1e-GA,George Hendrik Breitnerlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26480621,5.04144274
"Hendrik Willem Mesdaglaan 1e-GA, 1394GC Nederhorst den Berg",1394GC,1e-GA,Hendrik Willem Mesdaglaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26584186,5.04170648
"Rembrandt van Rijnhof 1e-GA, 1394EH Nederhorst den Berg",1394EH,1e-GA,Rembrandt van Rijnhof,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26375068,5.04087482
"Spiegelpolder 1e, 1394HX Nederhorst den Berg",1394HX,1e,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27346051,5.0519982
"Veenderij 1e-GA, 1394LA Nederhorst den Berg",1394LA,1e-GA,Veenderij,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25738099,5.04487887
"Vreelandseweg 1e, 1394BL Nederhorst den Berg",1394BL,1e,Vreelandseweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25289996,5.04568033
"George Hendrik Breitnerlaan 1f-GA, 1394ET Nederhorst den Berg",1394ET,1f-GA,George Hendrik Breitnerlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26481585,5.04148336
"Rembrandt van Rijnhof 1f-GA, 1394EH Nederhorst den Berg",1394EH,1f-GA,Rembrandt van Rijnhof,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26375051,5.04081623
"Spiegelpolder 1f, 1394HX Nederhorst den Berg",1394HX,1f,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27362134,5.05092225
"Veenderij 1f-GA, 1394LA Nederhorst den Berg",1394LA,1f-GA,Veenderij,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25740799,5.04489331
"Vreelandseweg 1f, 1394BL Nederhorst den Berg",1394BL,1f,Vreelandseweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25286257,5.04563904
